id,red,darkgrey
0,3.15403423,46.9193154
1,3.300733496,24.91442543
2,5.29475686,10.58679707
3,3.69193154,8.820293399
4,18.06845966,0
5,2.322738386,27.16381418
6,1.638141809,30.24449878
7,2.127139364,23.68494586
8,2.550937245,20.46454768
9,4.615593589,11.36919315
10,6.321651725,63.78973105
11,7.261613692,20.75794621
12,7.06601467,11.07579462
13,4.376528117,11.07579462
14,4.034229829,11.07579462
15,2.219505569,6.283618582
16,2.322738386,5.745721271
17,2.561803858,3.349633252
18,2.89866884,6.228606357
19,2.078239609,11.02689487
20,2.665036675,6.968215159
21,2.219505569,7.247642333
22,6.08801956,41.68704156
23,23.62673187,26.52811736
24,3.588698723,20.17114914
25,4.034229829,12.200489
26,5.631621842,11.27139364
27,5.403422983,23.6797066
28,5.642488454,12.6405868
29,5.299511002,4.718826406
30,2.078239609,4.572127139
31,1.877207281,9.02200489
32,5.403422983,25.04715334
33,7.897310513,6.717603912
34,3.496332518,28.12958435
35,3.496332518,26.13691932
36,3.496332518,23.54523227
37,9.608801956,14.59657702
38,9.413202934,10.14669927
39,6.039119804,23.54523227
40,7.555012225,12.93398533
41,11.17359413,0
42,10.97188264,0
43,7.555012225,36.45476773
44,7.60391198,33.47188264
45,7.897310513,29.70660147
46,7.750611247,28.13569682
47,9.266503667,2.469437653
48,7.212713936,17.43276284
49,8.37000815,3.789731051
50,5.745721271,5.207823961
51,8.826405868,8.812434509
52,6.870415648,6.937652812
53,6.08801956,4.66992665
54,6.08801956,6.62591687
55,7.946210269,8.820293399
56,2.322738386,7.60391198
57,2.219505569,7.596926301
58,1.73594132,7.60391198
59,2.268405325,7.60391198
60,3.349633252,7.596926301
61,24.31676175,19.82273839
62,12.48845422,13.61858191
63,5.550122249,0
64,12.14072263,0
65,18.16082586,0
66,24.22982885,18.38630807
67,27.15838087,48.18255909
68,19.58435208,6.870415648
69,2.322738386,18.38630807
70,1.589242054,14.44987775
71,1.442542787,12.78728606
72,1.19804401,9.315403423
73,11.80385765,14.69437653
74,1.980440098,1.491442543
75,7.799511002,30.07334963
76,4.718826406,24.37652812
77,1.192610704,3.496332518
78,32.98288509,6.919315403
79,1.246943765,11.02689487
80,4.13202934,7.457212714
81,1.241510459,1.980440098
82,1.784841076,2.518337408
83,1.77940777,3.105134474
84,2.469437653,2.469437653
85,2.420537897,2.347188264
86,2.903422983,1.638141809
87,2.762836186,1.980440098
88,2.078239609,0.464547677
89,2.665036675,2.723716381