Year,Buildings and Infrastructure,Roads,Bricks,Railway
1970,4124.803768,3268.867376,1368.030118,
1971,4455.128205,3695.054945,1417.378917,
1972,4798.534799,3827.838828,1466.727717,
1973,5093.610094,4077.98754,1503.357753,
1974,5073.260073,4012.059141,1494.51602,
1975,5073.260073,3809.52381,1466.727717,
1976,5490.43549,3771.367521,1477.920228,
1977,5769.230769,4005.392755,1489.112739,
1978,6188.746439,4410.25641,1489.112739,
1979,6336.684522,4486.375333,1486.470519,
1980,6397.028897,4392.043142,1439.76394,
1981,6404.660155,3974.213617,1476.393976,54.07291122
1982,6461.276818,3737.414872,1467.974976,72.24257224
1983,6634.106634,3858.363858,1664.122914,51.32967899
1984,6804.029304,3820.865953,1869.304987,58.70980871
1985,6954.750276,3834.321763,1952.584453,62.06756207
1986,7222.710623,3982.010582,2196.275946,49.34879935
1987,7600.732601,4139.194139,2320.41107,69.6988197
1988,8090.732019,4249.084249,2607.273679,73.26007326
1989,8296.703297,4269.729673,2632.078197,76.21410847
1990,8304.843305,4375.254375,2556.471306,94.62759463
1991,8522.588523,4222.120472,2487.789988,93.1013431
1992,8978.428978,3860.39886,2967.032967,92.08384208
1993,9340.659341,3937.728938,3186.813187,94.11884412
1994,9926.739927,3974.358974,3455.942206,105.3113553
1995,10439.56044,4025.161347,3656.825978,53.56416071
1996,10816.32653,3939.981976,3686.914937,74.78632479
1997,11197.34432,4112.281237,3701.566952,41.21294427
1998,11117.21612,4322.344322,3785.612536,55.96255596
1999,11575.09158,4353.378103,3809.52381,49.34879935
2000,12051.28205,4475.986976,3798.622013,60.25059596
2001,12490.84249,4366.096866,3820.716321,91.57509158
2002,13296.7033,4342.185592,3857.346357,61.55881156
2003,14578.75458,4340.659341,3895.502646,91.06634107
2004,15787.54579,4866.198616,3882.783883,99.20634921
2005,16904.7619,4994.403744,3978.490028,283.3129833
2006,18772.89377,5250.814001,4016.585267,80.38258038
2007,20211.93093,5016.280016,3997.325426,90.70294785
2008,20586.08059,4732.397232,3967.236467,106.8376068
2009,21978.02198,4450.549451,3956.043956,101.7501018
2010,24285.71429,4597.069597,3992.673993,74.78632479